timestamp_registro,timestamp_medición,region_id,region_name,hoy,ayer,semana_anterior,porcentaje_ayer,porcentaje_semana,nivel_alerta
2025-07-14 12:27:19,2025-07-14 09:25:00,2426,Misiones,238.0,178.0,265.0,-33.7,10.2,PROVINCIA
2025-07-14 12:27:20,2025-07-14 09:20:00,1893,Corrientes,281.0,239.0,288.0,-17.6,2.4,PROVINCIA
2025-07-14 12:27:21,2025-07-14 09:25:00,1892,Chaco,287.0,206.0,378.0,-39.3,24.1,PROVINCIA
2025-07-14 12:27:22,2025-07-14 09:20:00,1886,Formosa,128.0,118.0,130.0,-8.5,1.5,PROVINCIA
2025-07-14 12:27:23,2025-07-14 09:20:00,1937,Jujuy,115.0,103.0,122.0,-11.7,5.7,PROVINCIA
2025-07-14 12:27:24,2025-07-14 09:20:00,1933,Salta,278.0,224.0,290.0,-24.1,4.1,PROVINCIA
2025-07-14 12:27:25,2025-07-14 09:20:00,1936,Tucumán,357.0,306.0,375.0,-16.7,4.8,PROVINCIA
2025-07-14 12:27:26,2025-07-14 09:20:00,1938,Catamarca,154.0,122.0,163.0,-26.2,5.5,PROVINCIA
2025-07-14 12:27:27,2025-07-14 09:20:00,1905,Santiago del Estero,207.0,182.0,197.0,-13.7,-5.1,PROVINCIA
2025-07-14 12:27:27,2025-07-14 09:20:00,1910,La Rioja,163.0,144.0,174.0,-13.2,6.3,PROVINCIA
2025-07-14 12:27:28,2025-07-14 09:20:00,1077,Edenor,3630.0,2738.0,3824.0,-32.6,5.1,PROVINCIA
2025-07-14 12:27:29,2025-07-14 09:25:00,1078,Edesur,2943.0,2207.0,3056.0,-33.3,3.7,PROVINCIA
2025-07-14 12:27:29,2025-07-14 09:20:00,1943,Edelap,500.0,414.0,502.0,-20.8,0.4,PROVINCIA
2025-07-14 12:27:30,2025-07-14 09:20:00,1944,San Luis,200.0,142.0,187.0,-40.8,-7.0,PROVINCIA
2025-07-14 12:27:31,2025-07-14 09:20:00,1945,Córdoba,1414.0,1035.0,1429.0,-36.6,1.0,PROVINCIA
2025-07-14 12:27:32,2025-07-14 09:20:00,2543,Chubut,781.0,785.0,850.0,0.5,8.1,PROVINCIA
2025-07-14 12:27:33,2025-07-14 09:20:00,2542,Santa Cruz,173.0,115.0,186.0,-50.4,7.0,PROVINCIA
2025-07-14 12:27:34,2025-07-14 09:20:00,2540,Santa Fe,1492.0,1192.0,1533.0,-25.2,2.7,PROVINCIA
2025-07-14 12:27:35,2025-07-14 09:20:00,2541,Entre Ríos,445.0,328.0,434.0,-35.7,-2.5,PROVINCIA
2025-07-14 12:27:36,2025-07-14 09:25:00,2525,Río Negro,233.0,202.0,225.0,-15.3,-3.6,PROVINCIA
2025-07-14 12:27:37,2025-07-14 09:25:00,427,La Pampa,166.0,122.0,164.0,-36.1,-1.2,PROVINCIA
2025-07-14 12:27:38,2025-07-14 09:25:00,2528,Neuquén,402.0,340.0,366.0,-18.2,-9.8,PROVINCIA
2025-07-14 12:27:39,2025-07-14 09:20:00,425,Provincia de Buenos Aires,2421.0,1760.0,2483.0,-37.6,2.5,REGION
2025-07-14 12:27:40,2025-07-14 09:25:00,1922,San Juan,289.0,220.0,297.0,-31.4,2.7,PROVINCIA
2025-07-14 12:27:41,2025-07-14 09:25:00,1946,Mendoza,718.0,578.0,734.0,-24.2,2.2,PROVINCIA
2025-07-14 12:27:41,2025-07-14 09:20:00,418,NEA,931.0,754.0,1033.0,-23.5,9.9,REGION
2025-07-14 12:27:43,2025-07-14 09:25:00,419,NOA,1295.0,1096.0,1320.0,-18.2,1.9,REGION
